P202176 2023-01-03 17:08:48,073 runWISDEM:run_wisdem:90 INFO:Started
P202176 2023-01-03 17:08:53,303 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P202176 2023-01-03 17:08:53,304 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P202176 2023-01-03 17:08:53,304 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P202176 2023-01-03 17:08:53,305 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P202176 2023-01-03 17:08:53,305 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P202176 2023-01-03 17:08:53,306 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P202176 2023-01-03 17:08:53,307 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P202176 2023-01-03 17:08:53,307 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P202176 2023-01-03 17:08:53,308 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P202176 2023-01-03 17:08:53,308 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P202176 2023-01-03 17:08:53,309 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P202176 2023-01-03 17:08:53,309 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P202176 2023-01-03 17:08:53,310 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P202176 2023-01-03 17:08:53,311 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P202176 2023-01-03 17:08:53,311 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P202176 2023-01-03 17:08:53,312 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P202176 2023-01-03 17:08:53,312 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P202176 2023-01-03 17:08:53,313 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P202176 2023-01-03 17:08:53,314 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P202176 2023-01-03 17:08:53,314 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P202176 2023-01-03 17:08:53,315 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P202176 2023-01-03 17:08:53,315 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P202176 2023-01-03 17:08:53,316 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P202176 2023-01-03 17:08:53,316 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P202176 2023-01-03 17:08:53,317 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P202176 2023-01-03 17:08:53,318 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P202176 2023-01-03 17:08:53,318 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P202176 2023-01-03 17:08:58,768 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P202176 2023-01-03 17:08:58,768 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P202176 2023-01-03 17:08:58,769 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P202176 2023-01-03 17:08:58,770 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P202176 2023-01-03 17:08:58,770 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P202176 2023-01-03 17:08:58,771 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P202176 2023-01-03 17:08:58,771 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P202176 2023-01-03 17:08:58,772 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P202176 2023-01-03 17:08:58,772 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P202176 2023-01-03 17:08:58,773 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P202176 2023-01-03 17:08:58,774 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P202176 2023-01-03 17:08:58,774 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P202176 2023-01-03 17:08:58,775 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P202176 2023-01-03 17:08:58,775 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P202176 2023-01-03 17:08:58,776 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P202176 2023-01-03 17:08:58,776 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P202176 2023-01-03 17:08:58,777 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P202176 2023-01-03 17:08:58,778 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P202176 2023-01-03 17:08:58,778 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P202176 2023-01-03 17:08:58,779 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P202176 2023-01-03 17:08:58,779 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P202176 2023-01-03 17:08:58,780 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P202176 2023-01-03 17:08:58,780 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P202176 2023-01-03 17:08:58,781 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P202176 2023-01-03 17:08:58,782 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P202176 2023-01-03 17:08:58,782 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P202176 2023-01-03 17:08:58,783 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
