------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.999622705006573e+01  2.600000000000000e+00        1
 1.935646803762738e+00  0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  1.933320982068975e+01  3.050762277378245e+00        2
 3.871293607525477e+00  0.000000000000000e+00  0.000000000000000e+00 -2.870356892061570e-03  1.834410372138208e+01  3.429175524337372e+00        3
 5.806940411288213e+00 -1.939408866995070e-04  0.000000000000000e+00 -7.020893253937245e-02  1.710638861939201e+01  3.696010733058187e+00        4
 7.742587215050952e+00 -4.743793103448273e-03  0.000000000000000e+00 -2.166318989354390e-01  1.569754438196887e+01  3.812038895721497e+00        5
 9.678234018813692e+00 -1.483103448275862e-02  0.000000000000000e+00 -3.449333887874316e-01  1.380899294152865e+01  3.797652497913041e+00        6
 1.161388082257643e+01 -2.804970443349753e-02  0.000000000000000e+00 -4.599182064906653e-01  1.119101322765836e+01  3.743194466020221e+00        7
 1.354952762633917e+01 -4.590591133004925e-02  0.000000000000000e+00 -5.816134107211047e-01  8.477208412641270e+00  3.660584024105871e+00        8
 1.548517443010190e+01 -6.734679802955665e-02  0.000000000000000e+00 -7.021256785198506e-01  6.313840132149177e+00  3.560253158584612e+00        9
 1.742082123386464e+01 -9.334512315270936e-02  0.000000000000000e+00 -8.315125974209743e-01  5.006088246947966e+00  3.411069767679434e+00       10
 1.935646803762738e+01 -1.235274876847291e-01  0.000000000000000e+00 -9.649907835127044e-01  3.939439286310973e+00  3.145391410560187e+00       11
 2.129211484139012e+01 -1.585433990147783e-01  0.000000000000000e+00 -1.119306970223759e+00  3.062367022613588e+00  2.840793654861384e+00       12
 2.322776164515285e+01 -1.991506896551724e-01  0.000000000000000e+00 -1.295520607629358e+00  2.369046384225643e+00  2.582520168332759e+00       13
 2.516340844891560e+01 -2.460701477832512e-01  0.000000000000000e+00 -1.470141285355199e+00  1.825215257276808e+00  2.431322167586139e+00       14
 2.709905525267834e+01 -2.984725615763546e-01  0.000000000000000e+00 -1.659592153151307e+00  1.323642668462804e+00  2.320814115720161e+00       15
 2.903470205644107e+01 -3.581878325123153e-01  0.000000000000000e+00 -1.859440574527369e+00  9.092544827098678e-01  2.228524801055858e+00       16
 3.097034886020381e+01 -4.240869950738916e-01  0.000000000000000e+00 -2.089268417776771e+00  6.450801940301198e-01  2.142793556447850e+00       17
 3.290599566396655e+01 -4.993217733990146e-01  0.000000000000000e+00 -2.336345101165638e+00  5.711144464072772e-01  2.050499115084659e+00       18
 3.484164246772929e+01 -5.819026600985221e-01  0.000000000000000e+00 -2.610574490034383e+00  5.423265280823815e-01  1.941154569192060e+00       19
 3.677728927149203e+01 -6.756489655172412e-01  0.000000000000000e+00 -2.911851325742298e+00  5.217979903916146e-01  1.836700580629899e+00       20
 3.871293607525477e+01 -7.785625123152710e-01  0.000000000000000e+00 -3.238034360167159e+00  5.101657127240166e-01  1.763757768174927e+00       21
 4.064858287901750e+01 -8.943162068965517e-01  0.000000000000000e+00 -3.607739168313450e+00  5.128111420799376e-01  1.745766598300686e+00       22
 4.258422968278023e+01 -1.022164926108374e+00  0.000000000000000e+00 -4.025930211168556e+00  5.944327012914724e-01  1.746909312778054e+00       23
 4.451987648654298e+01 -1.166111724137931e+00  0.000000000000000e+00 -4.492460520458065e+00  7.262661917356694e-01  1.748755002073723e+00       24
 4.645552329030571e+01 -1.325395270935961e+00  0.000000000000000e+00 -5.021597431635014e+00  8.444055191164127e-01  1.750408970964401e+00       25
 4.839117009406845e+01 -1.504970886699507e+00  0.000000000000000e+00 -5.658163164398928e+00  8.775876650770467e-01  1.748264368163483e+00       26
 5.032681689783119e+01 -1.707078275862069e+00  0.000000000000000e+00 -6.384782256410420e+00  3.702229995346526e-01  1.590376123845410e+00       27
 5.226246370159394e+01 -1.935478029556650e+00  0.000000000000000e+00 -7.236776105666299e+00 -7.763044843644923e-01  1.236226228836201e+00       28
 5.419811050535667e+01 -2.194745172413793e+00  0.000000000000000e+00 -8.384915100842655e+00 -2.363649059347403e+00  7.510293114497626e-01       29
 5.613375730911940e+01 -2.500000000000000e+00  0.000000000000000e+00 -9.073520844015256e+00 -4.193464998141098e+00  1.999999999999999e-01       30
