P141989 2022-06-16 13:57:31,981 runWISDEM:run_wisdem:90 INFO:Started
P141989 2022-06-16 13:57:32,768 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P141989 2022-06-16 13:57:32,768 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P141989 2022-06-16 13:57:32,769 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P141989 2022-06-16 13:57:32,770 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P141989 2022-06-16 13:57:32,770 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P141989 2022-06-16 13:57:32,771 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P141989 2022-06-16 13:57:32,771 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P141989 2022-06-16 13:57:32,772 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P141989 2022-06-16 13:57:32,773 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P141989 2022-06-16 13:57:32,773 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P141989 2022-06-16 13:57:32,774 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P141989 2022-06-16 13:57:32,774 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P141989 2022-06-16 13:57:32,775 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P141989 2022-06-16 13:57:32,775 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P141989 2022-06-16 13:57:32,776 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P141989 2022-06-16 13:57:32,777 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P141989 2022-06-16 13:57:32,777 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P141989 2022-06-16 13:57:32,778 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P141989 2022-06-16 13:57:32,778 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P141989 2022-06-16 13:57:32,779 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P141989 2022-06-16 13:57:32,780 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P141989 2022-06-16 13:57:32,780 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P141989 2022-06-16 13:57:32,781 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P141989 2022-06-16 13:57:32,781 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P141989 2022-06-16 13:57:32,782 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P141989 2022-06-16 13:57:32,782 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P141989 2022-06-16 13:57:32,783 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P141989 2022-06-16 13:57:37,931 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P141989 2022-06-16 13:57:37,932 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P141989 2022-06-16 13:57:37,932 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P141989 2022-06-16 13:57:37,933 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P141989 2022-06-16 13:57:37,933 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P141989 2022-06-16 13:57:37,934 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P141989 2022-06-16 13:57:37,935 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P141989 2022-06-16 13:57:37,935 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P141989 2022-06-16 13:57:37,936 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P141989 2022-06-16 13:57:37,936 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P141989 2022-06-16 13:57:37,937 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P141989 2022-06-16 13:57:37,937 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P141989 2022-06-16 13:57:37,938 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P141989 2022-06-16 13:57:37,939 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P141989 2022-06-16 13:57:37,939 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P141989 2022-06-16 13:57:37,940 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P141989 2022-06-16 13:57:37,940 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P141989 2022-06-16 13:57:37,941 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P141989 2022-06-16 13:57:37,941 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P141989 2022-06-16 13:57:37,942 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P141989 2022-06-16 13:57:37,943 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P141989 2022-06-16 13:57:37,943 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P141989 2022-06-16 13:57:37,944 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P141989 2022-06-16 13:57:37,944 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P141989 2022-06-16 13:57:37,945 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P141989 2022-06-16 13:57:37,945 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P141989 2022-06-16 13:57:37,946 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P141989 2022-06-16 13:57:43,084 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P141989 2022-06-16 13:57:43,084 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P141989 2022-06-16 13:57:43,085 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P141989 2022-06-16 13:57:43,085 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P141989 2022-06-16 13:57:43,086 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P141989 2022-06-16 13:57:43,086 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P141989 2022-06-16 13:57:43,087 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P141989 2022-06-16 13:57:43,088 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P141989 2022-06-16 13:57:43,088 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P141989 2022-06-16 13:57:43,089 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P141989 2022-06-16 13:57:43,089 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P141989 2022-06-16 13:57:43,090 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P141989 2022-06-16 13:57:43,090 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P141989 2022-06-16 13:57:43,091 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P141989 2022-06-16 13:57:43,092 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P141989 2022-06-16 13:57:43,092 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P141989 2022-06-16 13:57:43,093 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P141989 2022-06-16 13:57:43,093 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P141989 2022-06-16 13:57:43,094 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P141989 2022-06-16 13:57:43,094 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P141989 2022-06-16 13:57:43,095 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P141989 2022-06-16 13:57:43,096 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P141989 2022-06-16 13:57:43,096 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P141989 2022-06-16 13:57:43,097 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P141989 2022-06-16 13:57:43,097 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P141989 2022-06-16 13:57:43,098 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P141989 2022-06-16 13:57:43,098 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
