# https://www.thewindpower.net/turbine_en_355_ge-energy_1.7-103.php
# accessed 2021-02-22
wind speed [m/s],power [kW],Cp
3,6,0.043542871
3.5,50,0.228504863
4,118,0.361269759
4.5,205,0.440804375
5,300,0.470263008
5.5,430,0.506418967
6,562,0.50981445
6.5,725,0.517282174
7,893,0.510137107
7.5,1106,0.513689765
8,1315,0.503251836
8.5,1475,0.470613975
9,1618,0.434891145
9.5,1680,0.383944139
10,1700,0.333102964
10.5,1700,0.287746865
11,1700,0.250265187
11.5,1700,0.219020606
12,1700,0.192767919
12.5,1700,0.170548718
13,1700,0.151617189
13.5,1700,0.135387071
14,1700,0.121393209
14.5,1700,0.109263345
15,1700,0.098697175
15.5,1700,0.08945063
16,1700,0.081323966
16.5,1700,0.074152648
17,1700,0.067800318
17.5,1700,0.062153323
18,1700,0.05711642
18.5,1700,0.052609396
19,1700,0.048564363
19.5,1700,0.044923612
20,1700,0.041637871
