# https://www.thewindpower.net/turbine_en_593_ge-energy_1.7-100.php
# accessed 2021-02-22
wind speed [m/s],power [kW],Cp
3,0,0
3.5,40,0.193936647
4,100,0.324806006
4.5,195,0.444837197
5,303,0.503891046
5.5,424,0.529763233
6,545,0.524501551
6.5,687,0.520020773
7,829,0.502417127
7.5,1015,0.500133883
8,1201,0.487615017
8.5,1370,0.463732801
9,1535,0.437708396
9.5,1647,0.399325284
10,1687,0.350686549
10.5,1698,0.304911507
11,1700,0.265506337
11.5,1700,0.232358961
12,1700,0.204507485
12.5,1700,0.180935135
13,1700,0.160850676
13.5,1700,0.143632143
14,1700,0.128786055
14.5,1700,0.115917482
15,1700,0.104707833
15.5,1700,0.094898173
16,1700,0.086276595
16.5,1700,0.078668544
17,1700,0.071929358
17.5,1700,0.06593846
18,1700,0.060594811
18.5,1700,0.055813308
19,1700,0.051521932
19.5,1700,0.04765946
20,1700,0.044173617
20.5,1700,0.041019595
21,1700,0.038158831
21.5,1700,0.03555802
22,1700,0.033188292
22.5,1700,0.031024543
23,1700,0.02904487
