P174634 2023-01-03 15:19:51,034 runWISDEM:run_wisdem:90 INFO:Started
P174634 2023-01-03 15:19:56,349 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P174634 2023-01-03 15:19:56,350 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P174634 2023-01-03 15:19:56,351 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P174634 2023-01-03 15:19:56,351 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P174634 2023-01-03 15:19:56,352 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P174634 2023-01-03 15:19:56,352 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P174634 2023-01-03 15:19:56,353 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P174634 2023-01-03 15:19:56,354 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P174634 2023-01-03 15:19:56,354 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P174634 2023-01-03 15:19:56,355 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P174634 2023-01-03 15:19:56,355 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P174634 2023-01-03 15:19:56,356 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P174634 2023-01-03 15:19:56,357 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P174634 2023-01-03 15:19:56,357 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P174634 2023-01-03 15:19:56,358 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P174634 2023-01-03 15:19:56,358 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P174634 2023-01-03 15:19:56,359 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P174634 2023-01-03 15:19:56,360 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P174634 2023-01-03 15:19:56,360 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P174634 2023-01-03 15:19:56,361 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P174634 2023-01-03 15:19:56,361 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P174634 2023-01-03 15:19:56,362 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P174634 2023-01-03 15:19:56,363 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P174634 2023-01-03 15:19:56,363 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P174634 2023-01-03 15:19:56,364 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P174634 2023-01-03 15:19:56,364 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P174634 2023-01-03 15:19:56,365 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P174634 2023-01-03 15:20:02,474 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P174634 2023-01-03 15:20:02,475 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P174634 2023-01-03 15:20:02,475 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P174634 2023-01-03 15:20:02,476 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P174634 2023-01-03 15:20:02,477 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P174634 2023-01-03 15:20:02,477 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P174634 2023-01-03 15:20:02,478 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P174634 2023-01-03 15:20:02,478 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P174634 2023-01-03 15:20:02,479 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P174634 2023-01-03 15:20:02,480 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P174634 2023-01-03 15:20:02,480 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P174634 2023-01-03 15:20:02,481 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P174634 2023-01-03 15:20:02,481 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P174634 2023-01-03 15:20:02,482 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P174634 2023-01-03 15:20:02,483 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P174634 2023-01-03 15:20:02,483 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P174634 2023-01-03 15:20:02,484 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P174634 2023-01-03 15:20:02,484 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P174634 2023-01-03 15:20:02,485 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P174634 2023-01-03 15:20:02,486 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P174634 2023-01-03 15:20:02,486 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P174634 2023-01-03 15:20:02,487 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P174634 2023-01-03 15:20:02,487 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P174634 2023-01-03 15:20:02,488 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P174634 2023-01-03 15:20:02,488 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P174634 2023-01-03 15:20:02,489 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P174634 2023-01-03 15:20:02,490 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P174634 2023-01-03 15:20:08,763 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P174634 2023-01-03 15:20:08,763 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P174634 2023-01-03 15:20:08,764 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P174634 2023-01-03 15:20:08,765 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P174634 2023-01-03 15:20:08,765 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P174634 2023-01-03 15:20:08,766 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P174634 2023-01-03 15:20:08,766 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P174634 2023-01-03 15:20:08,767 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P174634 2023-01-03 15:20:08,768 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P174634 2023-01-03 15:20:08,768 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P174634 2023-01-03 15:20:08,769 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P174634 2023-01-03 15:20:08,769 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P174634 2023-01-03 15:20:08,770 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P174634 2023-01-03 15:20:08,771 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P174634 2023-01-03 15:20:08,771 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P174634 2023-01-03 15:20:08,772 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P174634 2023-01-03 15:20:08,772 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P174634 2023-01-03 15:20:08,773 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P174634 2023-01-03 15:20:08,773 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P174634 2023-01-03 15:20:08,774 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P174634 2023-01-03 15:20:08,775 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P174634 2023-01-03 15:20:08,775 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P174634 2023-01-03 15:20:08,776 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P174634 2023-01-03 15:20:08,776 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P174634 2023-01-03 15:20:08,777 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P174634 2023-01-03 15:20:08,778 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P174634 2023-01-03 15:20:08,778 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P174634 2023-01-03 15:20:15,124 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P174634 2023-01-03 15:20:15,125 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P174634 2023-01-03 15:20:15,125 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P174634 2023-01-03 15:20:15,126 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P174634 2023-01-03 15:20:15,127 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P174634 2023-01-03 15:20:15,127 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P174634 2023-01-03 15:20:15,128 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P174634 2023-01-03 15:20:15,128 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P174634 2023-01-03 15:20:15,129 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P174634 2023-01-03 15:20:15,130 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P174634 2023-01-03 15:20:15,130 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P174634 2023-01-03 15:20:15,131 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P174634 2023-01-03 15:20:15,131 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P174634 2023-01-03 15:20:15,132 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P174634 2023-01-03 15:20:15,133 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P174634 2023-01-03 15:20:15,133 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P174634 2023-01-03 15:20:15,134 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P174634 2023-01-03 15:20:15,134 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P174634 2023-01-03 15:20:15,135 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P174634 2023-01-03 15:20:15,136 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P174634 2023-01-03 15:20:15,136 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P174634 2023-01-03 15:20:15,137 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P174634 2023-01-03 15:20:15,137 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P174634 2023-01-03 15:20:15,138 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P174634 2023-01-03 15:20:15,139 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P174634 2023-01-03 15:20:15,139 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P174634 2023-01-03 15:20:15,140 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P174634 2023-01-03 15:20:21,204 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P174634 2023-01-03 15:20:21,205 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P174634 2023-01-03 15:20:21,206 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P174634 2023-01-03 15:20:21,206 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
