V,Cp,Ct,gen power [kW],aero thrust [kN],aero torque [kN-m],rotor RPM,blade pitch [deg],tip speed ratio
3,0.407,0.8029,53.05,34.89,80.61,7,1.045,14.17
3.5,0.4119,0.7777,94.25,46.76,130.2,7.437,0.6344,13.13
4,0.4168,0.7526,135.5,58.64,179.8,7.874,0.2235,12.1
4.5,0.4192,0.7388,189.6,72.89,231.5,8.545,0,11.53
5,0.4189,0.7388,259.2,89.96,285.8,9.494,0,11.53
5.5,0.4183,0.7388,339.8,108.3,344.1,10.44,0,11.53
6,0.4174,0.7388,437.2,128.6,408.6,11.39,0,11.53
6.5,0.4163,0.7388,553.4,150.8,479.2,12.34,0,11.53
7,0.4151,0.7388,688.4,174.9,555.5,13.29,0,11.53
7.5,0.4137,0.7388,846.4,201,638.4,14.24,0,11.53
8,0.4122,0.7388,1025,228.8,726.7,15.19,0,11.53
8.5,0.4106,0.7388,1222,258.1,819.9,16.14,0,11.53
9,0.4082,0.7316,1448,286.5,929.5,16.89,0,11.41
9.5,0.4055,0.7212,1687,314.5,1047,17.56,0,11.23
10,0.3758,0.6351,1790,301.8,1097,17.85,1.446,10.87
10.5,0.3284,0.5278,1790,272.3,1097,17.85,3.272,10.37
11,0.2809,0.4205,1790,242.8,1097,17.85,5.099,9.869
11.5,0.2483,0.3612,1790,226.7,1097,17.85,6.292,9.457
12,0.2201,0.3164,1790,214.7,1097,17.85,7.293,9.073
12.5,0.192,0.2716,1790,202.7,1097,17.85,8.295,8.688
13,0.1712,0.2402,1790,193.6,1097,17.85,9.17,8.36
13.5,0.1545,0.216,1790,186,1097,17.85,9.975,8.064
14,0.1378,0.1919,1790,178.5,1097,17.85,10.78,7.768
14.5,0.122,0.1692,1790,171.3,1097,17.85,11.57,7.481
15,0.1119,0.1554,1790,166.2,1097,17.85,12.26,7.251
15.5,0.1019,0.1415,1790,161,1097,17.85,12.96,7.021
16,0.09183,0.1277,1790,155.9,1097,17.85,13.66,6.791
16.5,0.083,0.1156,1790,151.2,1097,17.85,14.33,6.577
17,0.07681,0.1073,1790,147.6,1097,17.85,14.95,6.397
17.5,0.07062,0.09898,1790,144,1097,17.85,15.57,6.216
18,0.06443,0.09069,1790,140.3,1097,17.85,16.19,6.036
18.5,0.05876,0.0831,1790,136.9,1097,17.85,16.79,5.864
19,0.05484,0.07791,1790,134.3,1097,17.85,17.35,5.72
19.5,0.05093,0.07271,1790,131.6,1097,17.85,17.9,5.577
20,0.04701,0.06752,1790,129,1097,17.85,18.46,5.433
20.5,0.04309,0.06233,1790,126.3,1097,17.85,19.01,5.289
21,0.04044,0.05887,1790,124.4,1097,17.85,19.54,5.172
21.5,0.03788,0.05554,1790,122.6,1097,17.85,20.06,5.056
22,0.03533,0.0522,1790,120.7,1097,17.85,20.58,4.939
22.5,0.03277,0.04886,1790,118.9,1097,17.85,21.1,4.823
23,0.03063,0.04607,1790,117.3,1097,17.85,21.61,4.718
23.5,0.0289,0.04383,1790,115.9,1097,17.85,22.1,4.622
24,0.02718,0.04159,1790,114.6,1097,17.85,22.58,4.527
24.5,0.02545,0.03934,1790,113.3,1097,17.85,23.07,4.432
25,0.02373,0.0371,1790,111.9,1097,17.85,23.56,4.337
