------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  2.717101540016663e-01  1.999622705006573e+01  2.600000000000000e+00        1
 1.959564541213064e+00  9.292684245912822e-03  2.636792636179837e-02 -6.884414788515208e-02  1.941366956368146e+01  3.119863576087741e+00        2
 3.919129082426128e+00 -4.709056050936664e-03 -1.411093633798528e-02 -9.550159541605565e-01  1.845471875434590e+01  3.496633221453275e+00        3
 5.878693623639190e+00 -5.602901176419936e-02 -1.806823197841932e-01 -9.143405386540707e-01  1.721703817881465e+01  3.730603810247484e+00        4
 7.838258164852253e+00 -6.724885449602012e-02 -2.220616870280217e-01  1.727260462471640e-01  1.579829139384332e+01  3.822070216621252e+00        5
 9.797822706065322e+00 -4.421427337410845e-02 -1.197738929326927e-01  4.376493371914717e-01  1.382310288407363e+01  3.714973901825299e+00        6
 1.175738724727838e+01 -3.731318417536661e-02 -4.873797618306736e-02 -3.656203602252289e-02  1.098030895108008e+01  3.393781728865210e+00        7
 1.371695178849145e+01 -4.671517885408338e-02 -6.812173261616404e-03 -4.161256377394575e-01  8.035287458826238e+00  2.995331464795188e+00        8
 1.567651632970451e+01 -6.577663759959211e-02  1.386678457325417e-02 -6.540736180985189e-01  5.768879980250001e+00  2.658497608517862e+00        9
 1.763608087091757e+01 -9.145395864298385e-02  2.144947319224018e-02 -8.235644894713314e-01  4.545241760176486e+00  2.461139739497561e+00       10
 1.959564541213064e+01 -1.221079141185850e-01  2.073226040336672e-02 -9.665663897187501e-01  3.596726116760254e+00  2.301388490407274e+00       11
 2.155520995334370e+01 -1.575656130719249e-01  1.352730250856617e-02 -1.124146019679604e+00  2.835103026651572e+00  2.162665836316003e+00       12
 2.351477449455676e+01 -1.989964867766370e-01  1.030480730954011e-03 -1.296018067300546e+00  2.227744668187854e+00  2.036146620275658e+00       13
 2.547433903576983e+01 -2.462079007799512e-01 -1.498504527094951e-02 -1.463721608982016e+00  1.721745649072026e+00  1.913836231118038e+00       14
 2.743390357698290e+01 -2.991066522818921e-01 -3.232787532138497e-02 -1.642144572998075e+00  1.236354011192092e+00  1.796207454484451e+00       15
 2.939346811819596e+01 -3.585180140267141e-01 -4.846299401102963e-02 -1.836561377855971e+00  8.320961273174695e-01  1.687877064011188e+00       16
 3.135303265940901e+01 -4.247090730593871e-01 -6.205426881877255e-02 -2.063018091017912e+00  5.842064087915017e-01  1.593404380235980e+00       17
 3.331259720062208e+01 -4.996014820025998e-01 -7.319555017722015e-02 -2.310055022731713e+00  5.528016376152395e-01  1.516641375824390e+00       18
 3.527216174183515e+01 -5.826779725103580e-01 -8.160761907915871e-02 -2.584417902820997e+00  6.436132330015791e-01  1.453248545447331e+00       19
 3.723172628304822e+01 -6.763201366594872e-01 -8.683438824825006e-02 -2.880668515160318e+00  7.746672469764723e-01  1.397738874979806e+00       20
 3.919129082426129e+01 -7.796376109236985e-01 -8.809455156391353e-02 -3.200013014958263e+00  8.833643617355023e-01  1.345377025836084e+00       21
 4.115085536547435e+01 -8.950927091602351e-01 -8.725921322670709e-02 -3.558887084466980e+00  9.103993442682808e-01  1.292286923015908e+00       22
 4.311041990668740e+01 -1.022915054648103e+00 -8.211493476926129e-02 -3.970429547528803e+00  8.695880728469554e-01  1.246811217236190e+00       23
 4.506998444790047e+01 -1.166459555494350e+00 -7.189011539897705e-02 -4.426675789023909e+00  7.839848248039076e-01  1.203792143492250e+00       24
 4.702954898911352e+01 -1.325406088035120e+00 -5.726861332010732e-02 -4.950060974362096e+00  6.621028331198189e-01  1.152163172843419e+00       25
 4.898911353032660e+01 -1.504631116304739e+00 -4.113093417347055e-02 -5.577887778739924e+00  5.096583340585732e-01  1.080495261985530e+00       26
 5.094867807153966e+01 -1.706340744943698e+00 -2.656903707750210e-02 -6.295462152606834e+00  1.766184692260338e-01  9.607463559352566e-01       27
 5.290824261275273e+01 -1.934385522886846e+00 -1.618827764046067e-02 -7.142743389894114e+00 -3.805353671669968e-01  7.895113670047882e-01       28
 5.486780715396579e+01 -2.193652053532466e+00 -9.626543325965610e-03 -8.297989102425213e+00 -1.097840125658373e+00  5.793257652905482e-01       29
 5.682737169517885e+01 -2.500000000000000e+00  1.901447565409946e-17 -8.994213027344854e+00 -1.911332756785948e+00  3.427250208889592e-01       30
