P188342 2022-06-22 12:06:20,738 runWISDEM:run_wisdem:90 INFO:Started
P188342 2022-06-22 12:06:21,593 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P188342 2022-06-22 12:06:21,594 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P188342 2022-06-22 12:06:21,595 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P188342 2022-06-22 12:06:21,595 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P188342 2022-06-22 12:06:21,596 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P188342 2022-06-22 12:06:21,596 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P188342 2022-06-22 12:06:21,597 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P188342 2022-06-22 12:06:21,598 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P188342 2022-06-22 12:06:21,598 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P188342 2022-06-22 12:06:21,599 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P188342 2022-06-22 12:06:21,599 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P188342 2022-06-22 12:06:21,600 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P188342 2022-06-22 12:06:21,601 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P188342 2022-06-22 12:06:21,601 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P188342 2022-06-22 12:06:21,602 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P188342 2022-06-22 12:06:21,602 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P188342 2022-06-22 12:06:21,603 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P188342 2022-06-22 12:06:21,603 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
