P147355 2022-06-16 15:07:05,517 runWISDEM:run_wisdem:90 INFO:Started
P147355 2022-06-16 15:07:11,528 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P147355 2022-06-16 15:07:11,529 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P147355 2022-06-16 15:07:11,529 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P147355 2022-06-16 15:07:11,530 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P147355 2022-06-16 15:07:11,530 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P147355 2022-06-16 15:07:11,531 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P147355 2022-06-16 15:07:11,532 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P147355 2022-06-16 15:07:11,532 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P147355 2022-06-16 15:07:11,533 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P147355 2022-06-16 15:07:11,533 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P147355 2022-06-16 15:07:11,534 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P147355 2022-06-16 15:07:11,535 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P147355 2022-06-16 15:07:11,535 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P147355 2022-06-16 15:07:11,536 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P147355 2022-06-16 15:07:11,536 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P147355 2022-06-16 15:07:11,537 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P147355 2022-06-16 15:07:11,538 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P147355 2022-06-16 15:07:11,538 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P147355 2022-06-16 15:07:11,539 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P147355 2022-06-16 15:07:11,539 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P147355 2022-06-16 15:07:11,540 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P147355 2022-06-16 15:07:11,540 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
