P176689 2023-01-03 15:27:44,017 runWISDEM:run_wisdem:90 INFO:Started
P176689 2023-01-03 15:27:49,217 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P176689 2023-01-03 15:27:49,217 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P176689 2023-01-03 15:27:49,218 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P176689 2023-01-03 15:27:49,219 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P176689 2023-01-03 15:27:49,219 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P176689 2023-01-03 15:27:49,220 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P176689 2023-01-03 15:27:49,220 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P176689 2023-01-03 15:27:49,221 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P176689 2023-01-03 15:27:49,221 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P176689 2023-01-03 15:27:49,222 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P176689 2023-01-03 15:27:49,223 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P176689 2023-01-03 15:27:49,223 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P176689 2023-01-03 15:27:49,224 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P176689 2023-01-03 15:27:49,224 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P176689 2023-01-03 15:27:49,225 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P176689 2023-01-03 15:27:49,226 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P176689 2023-01-03 15:27:49,226 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P176689 2023-01-03 15:27:49,227 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P176689 2023-01-03 15:27:49,227 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P176689 2023-01-03 15:27:49,228 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P176689 2023-01-03 15:27:49,228 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P176689 2023-01-03 15:27:49,229 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P176689 2023-01-03 15:27:49,230 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P176689 2023-01-03 15:27:49,230 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P176689 2023-01-03 15:27:49,231 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P176689 2023-01-03 15:27:49,231 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P176689 2023-01-03 15:27:49,232 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P176689 2023-01-03 15:27:56,029 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P176689 2023-01-03 15:27:56,030 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P176689 2023-01-03 15:27:56,031 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P176689 2023-01-03 15:27:56,031 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P176689 2023-01-03 15:27:56,032 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P176689 2023-01-03 15:27:56,032 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P176689 2023-01-03 15:27:56,033 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P176689 2023-01-03 15:27:56,034 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P176689 2023-01-03 15:27:56,034 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P176689 2023-01-03 15:27:56,035 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P176689 2023-01-03 15:27:56,035 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P176689 2023-01-03 15:27:56,036 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P176689 2023-01-03 15:27:56,037 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P176689 2023-01-03 15:27:56,037 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P176689 2023-01-03 15:27:56,038 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P176689 2023-01-03 15:27:56,038 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P176689 2023-01-03 15:27:56,039 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P176689 2023-01-03 15:27:56,039 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P176689 2023-01-03 15:27:56,040 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P176689 2023-01-03 15:27:56,041 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P176689 2023-01-03 15:27:56,041 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P176689 2023-01-03 15:27:56,042 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P176689 2023-01-03 15:27:56,042 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P176689 2023-01-03 15:27:56,043 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P176689 2023-01-03 15:27:56,044 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P176689 2023-01-03 15:27:56,044 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P176689 2023-01-03 15:27:56,045 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P176689 2023-01-03 15:28:02,234 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P176689 2023-01-03 15:28:02,235 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P176689 2023-01-03 15:28:02,235 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P176689 2023-01-03 15:28:02,236 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P176689 2023-01-03 15:28:02,237 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P176689 2023-01-03 15:28:02,237 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P176689 2023-01-03 15:28:02,238 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P176689 2023-01-03 15:28:02,238 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P176689 2023-01-03 15:28:02,239 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P176689 2023-01-03 15:28:02,240 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P176689 2023-01-03 15:28:02,240 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P176689 2023-01-03 15:28:02,241 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P176689 2023-01-03 15:28:02,241 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P176689 2023-01-03 15:28:02,242 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P176689 2023-01-03 15:28:02,243 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P176689 2023-01-03 15:28:02,243 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
