# https://en.wind-turbine-models.com/turbines/641-ge-general-electric-ge-2.5-100
wind speed [m/s],power [kW],Cp
3,4.5,0.034
3.5,32.3,0.156
4,83.9,0.275
4.5,131.6,0.299
5,204.6,0.339
5.5,290.7,0.369
6,413.1,0.398
6.5,545.1,0.416
7,708.4,0.424
7.5,873.5,0.426
8,1067,0.432
8.5,1295.2,0.44
9,1514.2,0.436
9.5,1777.6,0.432
10,1985.2,0.42
10.5,2193.1,0.392
11,2283.7,0.359
11.5,2366.2,0.323
12,2458.4,0.298
12.5,2496.2,0.263
13,2503.2,0.239
13.5,2500.1,0.215
14,2510.7,0.19
14.5,2512.1,0.171
15,2512.1,0.154
15.5,2511.9,0.14
16,2511.2,0.127
16.5,2510.2,0.117
17,2510.7,0.108
17.5,2511.1,0.096
18,2511,0.087
18.5,2514.8,0.081
19,2514.8,0.077
19.5,2514.9,0.07
20,2515.9,0.065
