V,Cp,Ct,gen power [kW],aero thrust [kN],aero torque [kN-m],rotor RPM,blade pitch [deg],tip speed ratio
3,0.3991,0.7969,55.11,36.68,83.79,7,1.305,14.17
3.5,0.4057,0.7711,98.65,49.1,138.8,7.347,0.7918,13.01
4,0.4123,0.7454,142.2,61.51,193.9,7.693,0.279,11.84
4.5,0.4157,0.7313,199.2,76.43,250.6,8.302,0,11.21
5,0.4153,0.7313,272.3,94.34,309.4,9.225,0,11.21
5.5,0.4147,0.7313,356.8,113.6,372.4,10.15,0,11.21
6,0.4137,0.7313,459.1,134.9,442.2,11.07,0,11.21
6.5,0.4126,0.7313,581,158.2,518.7,11.99,0,11.21
7,0.4113,0.7313,722.6,183.4,601.3,12.91,0,11.21
7.5,0.4098,0.7313,888.2,210.7,691,13.84,0,11.21
8,0.4082,0.7313,1075,239.9,786.7,14.76,0,11.21
8.5,0.4065,0.7313,1282,270.7,887.5,15.68,0,11.21
9,0.4042,0.7241,1514,300.3,1005,16.42,2.93e-18,11.09
9.5,0.3927,0.6838,1720,314.9,1110,16.97,0.5488,10.85
10,0.3408,0.5372,1720,270.9,1110,16.97,3.102,10.33
10.5,0.2978,0.4544,1720,249.3,1110,16.97,4.541,9.859
11,0.2548,0.3715,1720,227.7,1110,16.97,5.98,9.384
11.5,0.2252,0.3221,1720,214.3,1110,16.97,7.048,8.993
12,0.1997,0.2828,1720,203.4,1110,16.97,8.003,8.628
12.5,0.1741,0.2435,1720,192.5,1110,16.97,8.959,8.262
13,0.1553,0.2156,1720,184.2,1110,16.97,9.804,7.95
13.5,0.1401,0.1941,1720,177.2,1110,16.97,10.59,7.668
14,0.1249,0.1726,1720,170.2,1110,16.97,11.37,7.387
14.5,0.1107,0.1524,1720,163.5,1110,16.97,12.15,7.114
15,0.1015,0.14,1720,158.6,1110,16.97,12.83,6.895
15.5,0.09241,0.1275,1720,153.8,1110,16.97,13.52,6.677
16,0.08328,0.1151,1720,148.9,1110,16.97,14.2,6.458
16.5,0.07528,0.1042,1720,144.5,1110,16.97,14.86,6.254
17,0.06967,0.09674,1720,141,1110,16.97,15.48,6.083
17.5,0.06405,0.08924,1720,137.5,1110,16.97,16.09,5.911
18,0.05844,0.08175,1720,134,1110,16.97,16.7,5.74
18.5,0.0533,0.07491,1720,130.8,1110,16.97,17.3,5.576
19,0.04974,0.07025,1720,128.3,1110,16.97,17.86,5.44
19.5,0.04619,0.06559,1720,125.8,1110,16.97,18.43,5.303
20,0.04263,0.06093,1720,123.3,1110,16.97,18.99,5.166
20.5,0.03908,0.05627,1720,120.8,1110,16.97,19.56,5.03
21,0.03668,0.05313,1720,119,1110,16.97,20.08,4.918
21.5,0.03436,0.05011,1720,117.2,1110,16.97,20.6,4.807
22,0.03204,0.04709,1720,115.4,1110,16.97,21.12,4.697
22.5,0.02972,0.04407,1720,113.6,1110,16.97,21.64,4.587
23,0.02778,0.04155,1720,112,1110,16.97,22.14,4.486
23.5,0.02621,0.03953,1720,110.8,1110,16.97,22.64,4.396
24,0.02465,0.03751,1720,109.5,1110,16.97,23.13,4.305
24.5,0.02309,0.03549,1720,108.2,1110,16.97,23.62,4.214
25,0.02152,0.03347,1720,107,1110,16.97,24.11,4.124
