P142120 2022-06-16 13:57:56,981 runWISDEM:run_wisdem:90 INFO:Started
P142120 2022-06-16 13:57:57,822 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P142120 2022-06-16 13:57:57,823 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P142120 2022-06-16 13:57:57,823 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P142120 2022-06-16 13:57:57,824 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P142120 2022-06-16 13:57:57,825 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P142120 2022-06-16 13:57:57,825 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P142120 2022-06-16 13:57:57,826 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P142120 2022-06-16 13:57:57,826 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P142120 2022-06-16 13:57:57,827 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P142120 2022-06-16 13:57:57,827 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P142120 2022-06-16 13:57:57,828 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P142120 2022-06-16 13:57:57,829 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P142120 2022-06-16 13:57:57,829 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P142120 2022-06-16 13:57:57,830 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P142120 2022-06-16 13:57:57,830 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P142120 2022-06-16 13:57:57,831 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P142120 2022-06-16 13:57:57,831 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P142120 2022-06-16 13:57:57,832 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P142120 2022-06-16 13:57:57,833 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P142120 2022-06-16 13:57:57,833 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P142120 2022-06-16 13:57:57,834 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P142120 2022-06-16 13:57:57,834 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P142120 2022-06-16 13:57:57,835 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P142120 2022-06-16 13:57:57,835 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P142120 2022-06-16 13:57:57,836 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P142120 2022-06-16 13:57:57,837 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P142120 2022-06-16 13:57:57,837 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P142120 2022-06-16 13:58:03,570 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P142120 2022-06-16 13:58:03,571 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P142120 2022-06-16 13:58:03,572 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P142120 2022-06-16 13:58:03,572 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P142120 2022-06-16 13:58:03,573 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P142120 2022-06-16 13:58:03,573 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P142120 2022-06-16 13:58:03,574 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P142120 2022-06-16 13:58:03,574 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P142120 2022-06-16 13:58:03,575 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P142120 2022-06-16 13:58:03,576 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P142120 2022-06-16 13:58:03,576 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P142120 2022-06-16 13:58:03,577 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P142120 2022-06-16 13:58:03,577 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P142120 2022-06-16 13:58:03,578 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P142120 2022-06-16 13:58:03,578 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P142120 2022-06-16 13:58:03,579 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P142120 2022-06-16 13:58:03,580 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P142120 2022-06-16 13:58:03,580 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P142120 2022-06-16 13:58:03,581 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P142120 2022-06-16 13:58:03,581 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P142120 2022-06-16 13:58:03,582 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P142120 2022-06-16 13:58:03,582 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
