V,Cp,Ct,gen power [kW],aero thrust [kN],aero torque [kN-m],rotor RPM,blade pitch [deg],tip speed ratio
3,0.3723,0.8114,64.89,47.14,98.79,7,1.662,14.17
3.5,0.3911,0.7817,122.5,62.68,186.1,7.007,1.009,12.52
4,0.4099,0.752,180.1,78.22,273.5,7.014,0.3555,10.88
4.5,0.4204,0.7358,254.4,97.05,359.4,7.393,0,9.978
5,0.4211,0.7358,348.6,119.8,443.6,8.214,0,9.978
5.5,0.4215,0.7358,457.8,144.2,534.1,9.036,0,9.978
6,0.4213,0.7358,590.1,171.2,634.2,9.857,0,9.978
6.5,0.4209,0.7358,748,200.8,743.8,10.68,0,9.978
7,0.4203,0.7358,931.9,232.8,862.3,11.5,0,9.978
7.5,0.4194,0.7358,1147,267.6,991,12.32,0,9.978
8,0.4191,0.7417,1394,307.5,1147,12.96,-0.3185,9.851
8.5,0.4194,0.7559,1670,353.4,1337,13.35,-1.081,9.548
9,0.4092,0.7156,1931,371.5,1535,13.47,-0.89,9.118
9.5,0.3944,0.6511,2187,377.2,1738,13.47,-0.2736,8.632
10,0.3612,0.5633,2300,358.3,1828,13.47,1.26,8.202
10.5,0.3156,0.4734,2300,327.3,1828,13.47,3.119,7.825
11,0.27,0.3835,2300,296.4,1828,13.47,4.978,7.448
11.5,0.2386,0.3314,2300,278.2,1828,13.47,6.254,7.138
12,0.2116,0.2907,2300,263.8,1828,13.47,7.353,6.847
12.5,0.1845,0.25,2300,249.5,1828,13.47,8.452,6.557
13,0.1645,0.2212,2300,238.4,1828,13.47,9.411,6.31
13.5,0.1485,0.199,2300,229.1,1828,13.47,10.29,6.086
14,0.1324,0.1768,2300,219.9,1828,13.47,11.17,5.862
14.5,0.1173,0.1559,2300,211,1828,13.47,12.03,5.646
15,0.1076,0.1431,2300,204.6,1828,13.47,12.78,5.472
15.5,0.09792,0.1303,2300,198.2,1828,13.47,13.53,5.299
16,0.08825,0.1175,2300,191.8,1828,13.47,14.28,5.125
16.5,0.07977,0.1063,2300,186,1828,13.47,15,4.964
17,0.07382,0.09866,2300,181.5,1828,13.47,15.67,4.828
17.5,0.06787,0.09101,2300,177,1828,13.47,16.34,4.691
18,0.06193,0.08336,2300,172.5,1828,13.47,17.02,4.555
18.5,0.05647,0.07636,2300,168.3,1828,13.47,17.68,4.425
19,0.05271,0.07161,2300,165.1,1828,13.47,18.29,4.317
19.5,0.04894,0.06686,2300,161.9,1828,13.47,18.91,4.209
20,0.04518,0.06212,2300,158.7,1828,13.47,19.53,4.1
20.5,0.04141,0.05737,2300,155.5,1828,13.47,20.14,3.992
21,0.03887,0.05417,2300,153.1,1828,13.47,20.71,3.903
21.5,0.03641,0.05109,2300,150.8,1828,13.47,21.28,3.815
22,0.03395,0.04801,2300,148.4,1828,13.47,21.85,3.728
22.5,0.03149,0.04493,2300,146.1,1828,13.47,22.42,3.64
23,0.02944,0.04237,2300,144.2,1828,13.47,22.97,3.561
23.5,0.02778,0.04032,2300,142.6,1828,13.47,23.51,3.489
24,0.02612,0.03827,2300,141,1828,13.47,24.04,3.417
24.5,0.02446,0.03623,2300,139.5,1828,13.47,24.58,3.345
25,0.02281,0.03418,2300,137.9,1828,13.47,25.11,3.273
