P188469 2022-06-22 12:06:45,824 runWISDEM:run_wisdem:90 INFO:Started
P188469 2022-06-22 12:06:46,549 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P188469 2022-06-22 12:06:46,550 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P188469 2022-06-22 12:06:46,550 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P188469 2022-06-22 12:06:46,551 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P188469 2022-06-22 12:06:46,552 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P188469 2022-06-22 12:06:46,552 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P188469 2022-06-22 12:06:46,553 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P188469 2022-06-22 12:06:46,553 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P188469 2022-06-22 12:06:46,554 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P188469 2022-06-22 12:06:46,555 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P188469 2022-06-22 12:06:46,555 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P188469 2022-06-22 12:06:46,556 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P188469 2022-06-22 12:06:46,556 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P188469 2022-06-22 12:06:46,557 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P188469 2022-06-22 12:06:46,557 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P188469 2022-06-22 12:06:46,558 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P188469 2022-06-22 12:06:46,559 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P188469 2022-06-22 12:06:46,559 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P188469 2022-06-22 12:06:46,560 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P188469 2022-06-22 12:06:46,560 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P188469 2022-06-22 12:06:46,561 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P188469 2022-06-22 12:06:46,561 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
P188469 2022-06-22 12:06:46,562 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 25
P188469 2022-06-22 12:06:46,563 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 26
P188469 2022-06-22 12:06:46,563 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 27
P188469 2022-06-22 12:06:46,564 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 28
P188469 2022-06-22 12:06:46,564 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 29
P188469 2022-06-22 12:06:52,253 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 3
P188469 2022-06-22 12:06:52,253 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 4
P188469 2022-06-22 12:06:52,254 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 5
P188469 2022-06-22 12:06:52,254 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 6
P188469 2022-06-22 12:06:52,255 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 7
P188469 2022-06-22 12:06:52,256 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 8
P188469 2022-06-22 12:06:52,256 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 9
P188469 2022-06-22 12:06:52,257 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 10
P188469 2022-06-22 12:06:52,257 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 11
P188469 2022-06-22 12:06:52,258 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 12
P188469 2022-06-22 12:06:52,258 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 13
P188469 2022-06-22 12:06:52,259 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 14
P188469 2022-06-22 12:06:52,260 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 15
P188469 2022-06-22 12:06:52,260 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 16
P188469 2022-06-22 12:06:52,261 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 17
P188469 2022-06-22 12:06:52,261 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 18
P188469 2022-06-22 12:06:52,262 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 19
P188469 2022-06-22 12:06:52,262 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 20
P188469 2022-06-22 12:06:52,263 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 21
P188469 2022-06-22 12:06:52,264 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 22
P188469 2022-06-22 12:06:52,264 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 23
P188469 2022-06-22 12:06:52,265 gc_WT_DataStruc:compute:3301 INFO:3D correction applied to airfoil polars for section 24
