------- AERODYN v15.00.* BLADE DEFINITION INPUT FILE -------------------------------------
Generated with AeroElasticSE FAST driver
======  Blade Properties =================================================================
30          NumBlNds    - Number of blade nodes used in the analysis (-)
    BlSpn        BlCrvAC        BlSwpAC        BlCrvAng       BlTwist        BlChord          BlAFID
     (m)           (m)            (m)            (deg)         (deg)           (m)              (-)
 0.000000000000000e+00  0.000000000000000e+00  0.000000000000000e+00  3.173998903937874e-01  1.999622705006573e+01  2.600000000000000e+00        1
 1.689279776907814e+00  9.358009930748206e-03  2.657606768817425e-02 -8.014758701039192e-02  1.939827205940585e+01  3.144193269943127e+00        2
 3.378559553815627e+00 -4.726060275314250e-03 -1.418871959191144e-02 -1.106356339444304e+00  1.842218082824122e+01  3.515241971887596e+00        3
 5.067839330723441e+00 -5.587643721687411e-02 -1.807655326550937e-01 -1.052354008210306e+00  1.716544333921340e+01  3.731282250497186e+00        4
 6.757119107631252e+00 -6.677671773050819e-02 -2.214659157813896e-01  2.113609238521590e-01  1.572554957496400e+01  3.810450250435679e+00        5
 8.446398884539070e+00 -4.341314838393528e-02 -1.176317701138409e-01  5.130909959595115e-01  1.369716990767058e+01  3.646569344986405e+00        6
 1.013567866144688e+01 -3.652169141590014e-02 -4.558878114414794e-02 -5.345787004212672e-02  1.076155757741744e+01  3.172166451873045e+00        7
 1.182495843835470e+01 -4.656539751795880e-02 -5.959607392286079e-03 -5.008140088927663e-01  7.757730052572647e+00  2.618695792477868e+00        8
 1.351423821526251e+01 -6.605280911775115e-02  1.159354358293467e-02 -7.657405073183021e-01  5.541250493101043e+00  2.221804554200178e+00        9
 1.520351799217032e+01 -9.171746480109440e-02  1.829019989145128e-02 -9.522979100269544e-01  4.506777287975191e+00  2.098529194682289e+00       10
 1.689279776907814e+01 -1.222043633473020e-01  1.828461142701770e-02 -1.116403737918281e+00  3.775858893898043e+00  2.030095629324430e+00       11
 1.858207754598595e+01 -1.575442653202746e-01  1.236368515190158e-02 -1.302308983794617e+00  3.200063115505296e+00  1.977297351110388e+00       12
 2.027135732289377e+01 -1.989909896533673e-01  9.695282724287071e-04 -1.505331845761018e+00  2.691871478143539e+00  1.916376245955355e+00       13
 2.196063709980158e+01 -2.462989388801816e-01 -1.428001655515229e-02 -1.701150723198759e+00  2.171527457264664e+00  1.824279173283010e+00       14
 2.364991687670939e+01 -2.992879868284440e-01 -3.057685899203980e-02 -1.907096872874760e+00  1.646694298697414e+00  1.699223372159433e+00       15
 2.533919665361720e+01 -3.587339338675156e-01 -4.484496453979461e-02 -2.130193871665031e+00  1.174995075888871e+00  1.562031489178873e+00       16
 2.702847643052501e+01 -4.248701676113135e-01 -5.586405840643802e-02 -2.389253941705909e+00  8.141323059150356e-01  1.434524914276443e+00       17
 2.871775620743283e+01 -4.995802144992495e-01 -6.443761237424128e-02 -2.671678233424696e+00  6.090210033945549e-01  1.335186649001338e+00       18
 3.040703598434065e+01 -5.823539020154087e-01 -7.023800512014056e-02 -2.987104036556401e+00  4.834601333964622e-01  1.250746849828493e+00       19
 3.209631576124848e+01 -6.756409610267298e-01 -7.299027768567082e-02 -3.330786455769011e+00  3.885109727925636e-01  1.174815313769604e+00       20
 3.378559553815629e+01 -7.786497414262529e-01 -7.240531863159279e-02 -3.704194637247753e+00  2.931389043579249e-01  1.105654639429642e+00       21
 3.547487531506409e+01 -8.939140365834182e-01 -7.037975084433452e-02 -4.125586973896563e+00  1.692875846886541e-01  1.042179319198687e+00       22
 3.716415509197190e+01 -1.021713016387364e+00 -6.528261873850004e-02 -4.608529885132428e+00  3.890670460018263e-02  9.911198975205012e-01       23
 3.885343486887972e+01 -1.165372237046746e+00 -5.647556191193245e-02 -5.142112930338842e+00 -1.050803915685357e-01  9.455901893331473e-01       24
 4.054271464578753e+01 -1.324521052548131e+00 -4.442763399916542e-02 -5.751838854093728e+00 -2.878679398022090e-01  8.937725061478605e-01       25
 4.223199442269534e+01 -1.503971455725717e+00 -3.135615131648274e-02 -6.481740306982228e+00 -5.368005185692583e-01  8.237186969894785e-01       26
 4.392127419960315e+01 -1.705915034745350e+00 -1.990295958570815e-02 -7.315002639075430e+00 -9.896438281671256e-01  7.198024422380791e-01       27
 4.561055397651097e+01 -1.934144278115897e+00 -1.193346438220064e-02 -8.298263060349061e+00 -1.674025493119599e+00  5.822374004425900e-01       28
 4.729983375341878e+01 -2.193529707256419e+00 -6.944779759874863e-03 -9.641583718635943e+00 -2.529698630740399e+00  4.182680187154179e-01       29
 4.898911353032660e+01 -2.500000000000000e+00  2.605705211581166e-17 -1.045252157551892e+01 -3.496416358343251e+00  2.351387441689693e-01       30
