# https://en.wind-turbine-models.com/turbines/310-ge-general-electric-ge-2.5-120
wind speed [m/s],power [kW],Cp,Ct
3,25,0.13,1.01
3.5,89,0.3,0.92
4,171,0.39,0.85
4.5,269,0.43,0.82
5,389,0.45,0.82
5.5,533,0.46,0.82
6,704,0.47,0.83
6.5,906,0.48,0.83
7,1136,0.48,0.83
7.5,1400,0.48,0.81
8,1674,0.47,0.78
8.5,1934,0.46,0.73
9,2160,0.43,0.66
9.5,2316,0.39,0.58
10,2416,0.35,0.51
10.5,2477,0.31,0.44
11,2514,0.27,0.38
11.5,2528,0.24,0.33
12,2530,0.21,0.28
12.5,2530,,0.25
13,2530,0.17,0.22
13.5,2530,,0.2
14,2530,0.13,0.18
14.5,2530,,0.16
15,2530,0.11,0.14
15.5,2530,,0.13
16,2530,0.09,0.12
16.5,2530,,0.11
17,2530,0.07,0.1
17.5,2530,,0.09
18,2530,0.06,0.08
18.5,2530,,0.08
19,2530,0.05,0.07
19.5,2530,,0.07
20,2530,0.05,0.06
